grm_Adj Close,cnd_Open,cnd_Adj_Close,mxc_Open,mxc_Adj_Close,agt_Open,agt_Adj_Close,chl_Adj_Close,chl_Open,bx_Open
4797.13,5570.300,5711.200,3172.180,3102.390,389.4,367.36,626.24,648.25,6782
4864.97,5750.000,5742.500,3102.930,3045.170,366.4,354.96,607.56,626.64,6219
4945.74,5834.700,5859.800,3049.750,3194.540,356.1,375.91,614.87,608.18,6028
5095.62,5919.400,5977.100,3194.950,3237.240,375.69,365.04,611.72,614.94,5837
4958.44,5953.500,5871.800,3234.350,3167.260,364.66,348.11,605.98,611.9,5816
4744.05,5771.900,5796.800,3166.640,2856.100,347.16,301.73,561.31,606.04,5653
4754.65,5759.300,5889.400,2859.290,2917.780,300.69,322.18,558.045,584.435,4761
4893.51,5974.200,5879.400,2919.020,3023.900,321.99,339.73,554.78,562.83,5398
4851.56,5892.800,5857.000,3022.960,3414.680,339.4,369.97,603.17,554.73,5819
4872.18,5870.100,5906.100,3218.015,3405.080,370.02,368.6,600.92,603.46,6905
4629.03,5748.400,5725.600,3413.070,3395.480,367.44,349.16,593.15,600.76,6758
4623.37,5718.600,5771.400,3395.580,3475.900,349.44,359.34,592.815,597.155,6432
4439.13,5641.700,5774.300,3406.370,3494.400,359.3,356.18,592.48,593.55,6707
