ind_Adj_Close,astsp_Open,astsp_Adj_Close,ast_Open,ast_Adj_Close,usdow_Open,usdow_Adj_Close,usnsdq_Open,usnsdq_Adj_Close,usvix_Open
3347.41,2516.5,2516.5,2558.7,2571.7,8811.77,8834.94,1748.46,1745.05,23.57
3152.96,2550.6,2550.6,2571.7,2567.5,8831.95,8627.93,1726.57,1715.75,24.77
3161.08,2487.8,2487.8,2567.5,2524.9,8635.15,8665.29,1728.74,1753.12,26.49
3400.95,2507.1,2507.1,2524.9,2549.3,8666.23,8829.46,1762.19,1776.4,23.38
3292.33,2572.1,2572.1,2549.3,2608.2,8824.92,8813.01,1776.35,1772.7,22.87
3143.1,2553.9,2553.9,2608.2,2588.8,8812.77,8712.87,1783.63,1781.29,21.48
3078.51,2560.1,2560.1,2588.8,2596.8,8711.74,8711.13,1782.56,1805.82,22.96
3037.34,2543.8,2543.8,2596.8,2582.6,8713.37,8828.46,1813.24,1844.57,21.18
3143.64,2550.7,2550.7,2582.6,2592.8,8829.21,8923.87,1858.36,1877.76,20.18
3208.54,2546,2546,2592.8,2592,8923.87,8935.58,1886.33,1863.25,19.5
3168.82,2563.5,2563.5,2592,2609.9,8934.26,8944.54,1865.35,1869.53,19.84
3289.56,2570.8,2570.8,2609.9,2621.1,8945.54,8997.36,1880.59,1891.08,19.39
3250.69,2620.1,2620.1,2621.1,2668.4,8994.72,8952.02,1882.73,1894.74,19.85
3180.73,2697.2,2697.2,2699.4,2742.7,9047.68,9025.26,1908.75,1894,18.49
3089.02,2694.9,2694.9,2742.7,2743.1,9035.37,9058.515,1903.69,1901.735,18.775
3178.31,2703.2,2703.2,2743.1,2751.8,9023.06,9091.77,1898.63,1909.47,19.06
3195.94,2722.1,2722.1,2751.8,2769.3,9091.27,9085.04,1912.26,1908.11,18.4
3245.88,2725.7,2725.7,2769.3,2774.1,9086.29,9174.97,1909.41,1935.39,18.24
3331.98,2739.9,2739.9,2774.1,2788.9,9174.97,9089.78,1935.55,1939.82,18.05
3401.74,2703.7,2703.7,2788.9,2747.9,9090.81,9105.74,1938.96,1943.04,17.86
3322.17,2671.2,2671.2,2747.9,2718.6,9107.03,9096.21,1948.32,1965.53,18.36
3371.5,2700,2700,2718.6,2754.2,9100.07,9245.54,1972.69,1968.41,18.32
3365.72,2717.8,2717.8,2754.2,2773.9,9246.57,9234.47,1974.56,1994.54,17.88
3488.77,2750.3,2750.3,2773.9,2810.6,9233.23,9328.19,2000.9,2000.56,17.56
3470.8,2758.9,2758.9,2810.6,2814.7,9328.19,9337.97,2005.58,2008.76,16.42
3384.75,2733.2,2733.2,2814.7,2787.9,9340.55,9295.75,2013.48,2014.25,17.73
3353.3,2733.6,2733.6,2787.9,2787.9,9296.26,9190.19,2018.46,1979.14,17.45
3344.33,2711.1,2711.1,2787.9,2767.5,9185.71,9128.91,1969.1,1969.75,20.53
3227.52,2696.4,2696.4,2767.5,2748.7,9130.46,8932.98,1970.83,1935.22,20.54
3171.3,2689.8,2689.8,2748.7,2745.5,8934.52,8937.36,1947.86,1930.99,22.54
3085.17,2660.6,2660.6,2745.5,2715.3,8937.36,9028.24,1916.31,1933.26,24.43
3166.84,2673.7,2673.7,2715.3,2726.2,9028.5,8934.78,1931.83,1896.53,23.69
3219.93,2647.1,2647.1,2726.2,2693.2,8935.81,8914.96,1908.27,1881.49,23.29
3212.1,2657.9,2657.9,2693.2,2701.3,8913.41,9026.95,1897.03,1919.58,23.81
3211.31,2661.3,2661.3,2701.3,2704.6,9026.95,8883.29,1920.09,1872.39,22.29
3112.95,2629,2629,2704.6,2673.8,8883.29,8786.74,1869.72,1851.1,26.15
3119.54,2636.7,2636.7,2673.8,2682.3,8788.8,8487.31,1863.77,1785.64,25.57
3133.42,2597.6,2597.6,2682.3,2640.2,8486.02,8546.78,1790.15,1788.2,31.78
3096.33,2559.1,2559.1,2640.2,2602.4,8546.13,8577.68,1777.88,1829.51,29.45
3062.25,2554.6,2554.6,2602.4,2599,8579.22,8598.02,1842.48,1846.77,27.66
3020.71,2554.4,2554.4,2599,2597.4,8596.73,8574.85,1847.21,1839.21,28.05
2970.64,2518.5,2518.5,2597.4,2561.1,8570.84,8462.85,1801.67,1792.7,32.54
2950.8,2510.8,2510.8,2561.1,2551,8462.63,8552.96,1809.67,1825.53,29.41
2990.22,2504.8,2504.8,2551,2541.2,8550.7,8459.5,1820.53,1802.54,28.2
2968.75,2529.3,2529.3,2541.2,2569,8458.99,8425,1815.74,1790.19,29.86
2917.07,2493.5,2493.5,2569,2536.8,8419.96,8574.85,1784.91,1818.04,34.77
2867.99,2530.9,2530.9,2536.8,2565.5,8572.49,8714.65,1826.88,1855.12,30.66
2884.59,2600.7,2600.7,2565.5,2636.1,8712.7,8693.28,1872.38,1842.69,27.56
2989.6,2618.7,2618.7,2636.1,2658.5,8694.05,8611.41,1835.12,1832.45,29.27
2922.61,2594.4,2594.4,2658.5,2635,8607.8,8533.65,1816.48,1797.61,32.59
2950.44,2561.2,2561.2,2635,2601.8,8533.65,8566.61,1803.77,1790.82,31.69
