PUR_A,ASSETS,LIABILITIES
51337,56656,5319
51337,56656,5319
51337,56656,5319
51337,56656,5319
51337,56656,5319
51337,56656,5319
51337,56656,5319
51337,56656,5319
51337,56656,5319
51337,56656,5319
51337,56656,5319
51337,56656,5319
51337,56656,5319
52035,58060,6025
52035,58060,6025
52035,58060,6025
52035,58060,6025
52035,58060,6025
52035,58060,6025
52035,58060,6025
52035,58060,6025
52035,58060,6025
52035,58060,6025
52035,58060,6025
52035,58060,6025
52035,58060,6025
52035,58060,6025
52035,58060,6025
52035,58060,6025
52035,58060,6025
52035,58060,6025
52385,57698,5313
52385,57698,5313
52385,57698,5313
52385,57698,5313
52385,57698,5313
52385,57698,5313
52385,57698,5313
52385,57698,5313
52385,57698,5313
52385,57698,5313
52385,57698,5313
52385,57698,5313
52385,57698,5313
52385,57698,5313
52385,57698,5313
52385,57698,5313
52385,57698,5313
52385,57698,5313
52385,57698,5313
52385,57698,5313
52385,57698,5313
53012,58363,5351
53012,58363,5351
53012,58363,5351
53012,58363,5351
53012,58363,5351
53012,58363,5351
53012,58363,5351
53012,58363,5351
53012,58363,5351
53012,58363,5351
53012,58363,5351
53012,58363,5351
53012,58363,5351
53012,58363,5351
53012,58363,5351
53012,58363,5351
53012,58363,5351
53012,58363,5351
53012,58363,5351
53012,58363,5351
53012,58363,5351
53012,58363,5351
54630,60031,5401
54630,60031,5401
54630,60031,5401
54630,60031,5401
54630,60031,5401
54630,60031,5401
54630,60031,5401
54630,60031,5401
54630,60031,5401
54630,60031,5401
54630,60031,5401
54630,60031,5401
54630,60031,5401
54630,60031,5401
54630,60031,5401
54630,60031,5401
54630,60031,5401
54630,60031,5401
54630,60031,5401
54630,60031,5401
54630,60031,5401
55450,61009,5559
55450,61009,5559
55450,61009,5559
55450,61009,5559
55450,61009,5559
55450,61009,5559
55450,61009,5559
55450,61009,5559
55450,61009,5559
55450,61009,5559
55450,61009,5559
55450,61009,5559
55450,61009,5559
55450,61009,5559
55450,61009,5559
55450,61009,5559
55450,61009,5559
55450,61009,5559
55450,61009,5559
55450,61009,5559
55450,61009,5559
55450,61009,5559
56377,61828,5451
56377,61828,5451
56377,61828,5451
56377,61828,5451
56377,61828,5451
56377,61828,5451
56377,61828,5451
56377,61828,5451
56377,61828,5451
56377,61828,5451
56377,61828,5451
56377,61828,5451
57719,63186,5467
57719,63186,5467
57719,63186,5467
57719,63186,5467
57719,63186,5467
57719,63186,5467
57719,63186,5467
57719,63186,5467
57719,63186,5467
57719,63186,5467
57719,63186,5467
57719,63186,5467
57719,63186,5467
57719,63186,5467
57719,63186,5467
57719,63186,5467
57719,63186,5467
57719,63186,5467
57719,63186,5467
57719,63186,5467
57719,63186,5467
58149,64428,6279
58149,64428,6279
58149,64428,6279
58149,64428,6279
58149,64428,6279
58149,64428,6279
58149,64428,6279
58149,64428,6279
58149,64428,6279
58149,64428,6279
58149,64428,6279
58149,64428,6279
58149,64428,6279
58149,64428,6279
58149,64428,6279
58149,64428,6279
58149,64428,6279
58149,64428,6279
58149,64428,6279
58149,64428,6279
58149,64428,6279
58979,65522,6543
58979,65522,6543
58979,65522,6543
58979,65522,6543
58979,65522,6543
58979,65522,6543
58979,65522,6543
58979,65522,6543
58979,65522,6543
58979,65522,6543
58979,65522,6543
58979,65522,6543
58979,65522,6543
58979,65522,6543
58979,65522,6543
58979,65522,6543
58979,65522,6543
58979,65522,6543
58979,65522,6543
58979,65522,6543
58979,65522,6543
58979,65522,6543
59375,67239,7864
59375,67239,7864
59375,67239,7864
59375,67239,7864
59375,67239,7864
59375,67239,7864
59375,67239,7864
59375,67239,7864
59375,67239,7864
59375,67239,7864
59375,67239,7864
59375,67239,7864
59375,67239,7864
59375,67239,7864
59375,67239,7864
59375,67239,7864
59375,67239,7864
59375,67239,7864
59375,67239,7864
59375,67239,7864
60694,68843,8149
60694,68843,8149
60694,68843,8149
60694,68843,8149
60694,68843,8149
60694,68843,8149
60694,68843,8149
60694,68843,8149
60694,68843,8149
60694,68843,8149
60694,68843,8149
60694,68843,8149
60694,68843,8149
60694,68843,8149
60694,68843,8149
60694,68843,8149
60694,68843,8149
60694,68843,8149
60694,68843,8149
60694,68843,8149
60694,68843,8149
60694,68843,8149
60694,68843,8149
61575,68776,7201
61575,68776,7201
61575,68776,7201
61575,68776,7201
61575,68776,7201
61575,68776,7201
61575,68776,7201
61575,68776,7201
61575,68776,7201
61575,68776,7201
61575,68776,7201
61575,68776,7201
61575,68776,7201
61575,68776,7201
61575,68776,7201
61575,68776,7201
61575,68776,7201
61575,68776,7201
61575,68776,7201
61575,68776,7201
61575,68776,7201
61575,68776,7201
62984,70278,7294
62984,70278,7294
62984,70278,7294
62984,70278,7294
62984,70278,7294
62984,70278,7294
62984,70278,7294
62984,70278,7294
62984,70278,7294
62984,70278,7294
62984,70278,7294
62984,70278,7294
62984,70278,7294
62984,70278,7294
62984,70278,7294
62984,70278,7294
62984,70278,7294
62984,70278,7294
62984,70278,7294
62984,70278,7294
63549,70726,7177
63549,70726,7177
63549,70726,7177
63549,70726,7177
63549,70726,7177
63549,70726,7177
63549,70726,7177
63549,70726,7177
63549,70726,7177
63549,70726,7177
63549,70726,7177
63549,70726,7177
63549,70726,7177
63549,70726,7177
63549,70726,7177
63549,70726,7177
63549,70726,7177
63549,70726,7177
63549,70726,7177
63549,70726,7177
63549,70726,7177
63549,70726,7177
64678,71989,7311
64678,71989,7311
64678,71989,7311
64678,71989,7311
64678,71989,7311
64678,71989,7311
64678,71989,7311
64678,71989,7311
64678,71989,7311
64678,71989,7311
64678,71989,7311
64678,71989,7311
64678,71989,7311
64678,71989,7311
64678,71989,7311
64678,71989,7311
64678,71989,7311
64678,71989,7311
64678,71989,7311
64678,71989,7311
64678,71989,7311
66155,73198,7043
66155,73198,7043
66155,73198,7043
66155,73198,7043
66155,73198,7043
66155,73198,7043
66155,73198,7043
66155,73198,7043
66155,73198,7043
66155,73198,7043
66155,73198,7043
66155,73198,7043
66155,73198,7043
66155,73198,7043
66155,73198,7043
66155,73198,7043
66155,73198,7043
66155,73198,7043
66155,73198,7043
66155,73198,7043
66155,73198,7043
66155,73198,7043
66276,74654,8378
66276,74654,8378
66276,74654,8378
66276,74654,8378
66276,74654,8378
66276,74654,8378
66276,74654,8378
66276,74654,8378
66276,74654,8378
66276,74654,8378
66276,74654,8378
66276,74654,8378
66276,74654,8378
66276,74654,8378
66276,74654,8378
66276,74654,8378
66276,74654,8378
66276,74654,8378
66276,74654,8378
66691,75411,8720
66691,75411,8720
66691,75411,8720
66691,75411,8720
66691,75411,8720
66691,75411,8720
66691,75411,8720
66691,75411,8720
66691,75411,8720
66691,75411,8720
66691,75411,8720
66691,75411,8720
66691,75411,8720
66691,75411,8720
66691,75411,8720
66691,75411,8720
67051,75855,8804
67051,75855,8804
67051,75855,8804
67051,75855,8804
67051,75855,8804
67051,75855,8804
67051,75855,8804
67051,75855,8804
67051,75855,8804
67051,75855,8804
67051,75855,8804
67051,75855,8804
67051,75855,8804
67051,75855,8804
67051,75855,8804
67051,75855,8804
67051,75855,8804
67051,75855,8804
67051,75855,8804
67051,75855,8804
67051,75855,8804
67299,76018,8719
67299,76018,8719
67299,76018,8719
67299,76018,8719
67299,76018,8719
67299,76018,8719
67299,76018,8719
67299,76018,8719
67299,76018,8719
67299,76018,8719
67299,76018,8719
67299,76018,8719
67299,76018,8719
67299,76018,8719
67299,76018,8719
67299,76018,8719
67299,76018,8719
67299,76018,8719
67299,76018,8719
67299,76018,8719
67299,76018,8719
67299,76018,8719
68393,77641,9248
68393,77641,9248
68393,77641,9248
68393,77641,9248
68393,77641,9248
68393,77641,9248
68393,77641,9248
68393,77641,9248
68393,77641,9248
68393,77641,9248
68393,77641,9248
68393,77641,9248
68393,77641,9248
68393,77641,9248
68393,77641,9248
68393,77641,9248
68393,77641,9248
68393,77641,9248
68393,77641,9248
68393,77641,9248
68393,77641,9248
68387,77666,9279
68387,77666,9279
68387,77666,9279
68387,77666,9279
68387,77666,9279
68387,77666,9279
68387,77666,9279
68387,77666,9279
68387,77666,9279
68387,77666,9279
68387,77666,9279
68387,77666,9279
68387,77666,9279
68387,77666,9279
68387,77666,9279
68387,77666,9279
68387,77666,9279
68387,77666,9279
68387,77666,9279
68387,77666,9279
69555,79188,9633
69555,79188,9633
69555,79188,9633
69555,79188,9633
69555,79188,9633
69555,79188,9633
69555,79188,9633
69555,79188,9633
69555,79188,9633
69555,79188,9633
69555,79188,9633
69555,79188,9633
69555,79188,9633
69555,79188,9633
69555,79188,9633
69555,79188,9633
69555,79188,9633
69555,79188,9633
69555,79188,9633
69555,79188,9633
69555,79188,9633
69555,79188,9633
69555,79188,9633
70161,79793,9632
70161,79793,9632
70161,79793,9632
70161,79793,9632
70161,79793,9632
70161,79793,9632
70161,79793,9632
70161,79793,9632
70161,79793,9632
70161,79793,9632
70161,79793,9632
70161,79793,9632
70161,79793,9632
70161,79793,9632
70161,79793,9632
70161,79793,9632
70161,79793,9632
70161,79793,9632
70161,79793,9632
70161,79793,9632
70161,79793,9632
72559,82819,10260
72559,82819,10260
72559,82819,10260
72559,82819,10260
72559,82819,10260
72559,82819,10260
72559,82819,10260
72559,82819,10260
72559,82819,10260
72559,82819,10260
72559,82819,10260
72559,82819,10260
72559,82819,10260
72559,82819,10260
72559,82819,10260
72559,82819,10260
72559,82819,10260
72559,82819,10260
72559,82819,10260
72559,82819,10260
72559,82819,10260
74569,85403,10834
74569,85403,10834
74569,85403,10834
74569,85403,10834
74569,85403,10834
74569,85403,10834
74569,85403,10834
74569,85403,10834
74569,85403,10834
